baseline	candidate	metric	direction	status	skip_reason	paired_rows	baseline_mean	candidate_mean	mean_delta_candidate_minus_baseline	bootstrap_ci_95_lower	bootstrap_ci_95_upper	randomization_p_value	holm_adjusted_p_value
P5_GRPO_A2	P5_GRPO_A5	sentence_bleu	higher_is_better	ok		2000	14.67248556400094	15.009307291007485	0.33682172700654694	-0.08425500389408286	0.761666759884681	0.1146885311468853	0.3440655934406559
P5_GRPO_A2	P5_GRPO_A5	sentence_chrf_pp	higher_is_better	ok		2000	45.226773916700324	44.18670713984963	-1.0400667768506953	-1.415552574382204	-0.6546903964759885	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	sentence_xcomet	higher_is_better	ok		2000	0.7545379205755887	0.7452150075621901	-0.009322913013398642	-0.015246516927238534	-0.0034644860167056327	0.0021997800219978004	0.015398460153984602
P5_GRPO_A2	P5_GRPO_A5	astred_ted	lower_is_better	ok		1744	9.969625178152375	9.334518686841683	-0.6351064913106926	-0.7705313628399489	-0.5020159495731246	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_word_cross	lower_is_better	ok		1744	8.590496997510307	8.148051361178998	-0.4424456363313067	-0.8581640768398272	-0.016237402461502806	0.03849615038496151	0.15398460153984603
P5_GRPO_A2	P5_GRPO_A5	astred_seq_cross	lower_is_better	ok		1744	4.813667263022725	4.7847628121513575	-0.02890445087136755	-0.3343227377423767	0.28400215180320254	0.8569143085691431	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_sacr_cross	lower_is_better	ok		1744	5.844063994169003	5.793511491977727	-0.05055250219127615	-0.40017981773234285	0.3093309652587328	0.7862213778622138	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_ted	lower_is_better	ok		1783	12.960535231234099	12.598657201732413	-0.36187802950168685	-0.4736249744946803	-0.2512096455485365	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_word_cross	lower_is_better	ok		1783	11.287639376668018	10.484554337978066	-0.8030850386899505	-1.193433706127541	-0.4146097222078209	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_seq_cross	lower_is_better	ok		1783	8.489704702811103	8.10687968078637	-0.3828250220247316	-0.7189517476004365	-0.05270612292883755	0.026997300269973004	0.134986501349865
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_sacr_cross	lower_is_better	ok		1783	9.333705363713918	8.872623273722876	-0.4610820899910421	-0.8118816108446252	-0.10208015119730124	0.0100989901009899	0.06059394060593941
