Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score
Adequacy,bleu,higher is better,,17.08779268723318,17.42771831133956,16.2420585043592
Adequacy,chrf pp,higher is better,,45.24454563959705,45.40879294232752,43.12261517209161
Adequacy,comet,higher is better,,0.6932776030898095,0.6938160715401173,0.6737150396108628
Adequacy,comet qe,higher is better,0.5174972035288811,0.5443974146321416,0.5476396375745535,0.5188065385222435
Adequacy,cometkiwi,higher is better,0.5174972035288811,0.5443974146321416,0.5476396375745535,0.5188065385222435
Adequacy,metricx,lower is better,,10.062320704460143,9.977461143493652,10.236491582393647
Adequacy,ter,lower is better,,74.05093095703833,73.34637397667174,75.87299862348765
Adequacy,xcomet,higher is better,,0.42622941329609604,0.42718706661928446,0.407958329773508
Astred,aligned source ratio,,,0.7916140775324724,0.7984914691544374,0.7781585529806406
Astred,aligned target ratio,,,0.78145744069789,0.7828932605980697,0.7880159533448315
Astred,aligned word pairs,,,32.483557535538395,32.64086267144651,32.10668199918067
Astred,rows eligible,,,460.0,462.0,436.0
Astred,rows excluded sentence count mismatch,,,40.0,38.0,64.0
Astred,rows failed,,,0.0,0.0,16.0
Astred,rows scored,,,460.0,462.0,420.0
Astred,rows scored multisentence,,,460.0,462.0,420.0
Astred,rows total,,,500.0,500.0,500.0
Astred,sacr cross,lower means closer to reference structure,,20.79305398222238,20.354900774891103,22.19217655426233
Astred,sentence pairs scored,,,2302.0,2312.0,2101.0
Astred,seq cross,lower means closer to reference structure,,15.47579215826842,15.19784315278615,16.493687587639915
Astred,ted,lower means closer to reference structure,,25.376486678529815,25.099439158457248,25.700210851276893
Astred,word cross,lower means closer to reference structure,,32.14931431753921,31.959989185799028,33.88337671738907
Astred Source Prediction,aligned source ratio,,,0.8902144168536664,0.8874145035881023,0.8854226663056423
Astred Source Prediction,aligned target ratio,,,0.8219250211972082,0.8262294123875935,0.7992130794273629
Astred Source Prediction,aligned word pairs,,,34.00194721514419,33.97865729272532,33.19926465103346
Astred Source Prediction,rows eligible,,,457.0,459.0,436.0
Astred Source Prediction,rows excluded sentence count mismatch,,,43.0,41.0,64.0
Astred Source Prediction,rows failed,,,0.0,0.0,16.0
Astred Source Prediction,rows scored,,,457.0,459.0,420.0
Astred Source Prediction,rows scored multisentence,,,457.0,459.0,420.0
Astred Source Prediction,rows total,,,500.0,500.0,500.0
Astred Source Prediction,sacr cross,lower means closer to source structure,,6.233348613937531,5.835560727789744,6.956648640125729
