Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score
Adequacy,bleu,higher is better,,10.211972424728671,10.06600711947473,10.49565954610337
Adequacy,chrf pp,higher is better,,46.90322340295821,46.023563570546294,47.64202571576716
Adequacy,comet,higher is better,,0.78480447691679,0.7777526356577873,0.785972298681736
Adequacy,comet qe,higher is better,0.5098083000779152,0.584060641258955,0.5681159612815827,0.580976432621479
Adequacy,cometkiwi,higher is better,0.5098083000779152,0.584060641258955,0.5681159612815827,0.580976432621479
Adequacy,metricx,lower is better,,7.703855276107788,7.941207766532898,7.9220207133293155
Adequacy,ter,lower is better,,93.41506310780053,93.21073867163253,90.30881440099317
Adequacy,xcomet,higher is better,,0.4382133855614811,0.4245405305258464,0.43626904628798363
Astred,aligned source ratio,,,0.7641434158182417,0.7596632526225435,0.7810862833515652
Astred,aligned target ratio,,,0.8632685619893128,0.864597235292428,0.8600201609221164
Astred,aligned word pairs,,,24.456492443934543,23.71131267918884,24.93237474629946
Astred,rows eligible,,,357.0,330.0,361.0
Astred,rows excluded sentence count mismatch,,,143.0,170.0,139.0
Astred,rows failed,,,0.0,0.0,0.0
Astred,rows scored,,,357.0,330.0,361.0
Astred,rows scored multisentence,,,357.0,330.0,361.0
Astred,rows total,,,500.0,500.0,500.0
Astred,sacr cross,lower means closer to reference structure,,30.450795033653304,27.526801348819518,30.714119673470396
Astred,sentence pairs scored,,,1785.0,1650.0,1806.0
Astred,seq cross,lower means closer to reference structure,,25.639992156171527,23.153921954760783,25.534445740670982
Astred,ted,lower means closer to reference structure,,23.138863579516435,22.55193358167536,23.10914874835415
Astred,word cross,lower means closer to reference structure,,38.92960302748506,35.91413077804996,39.40032632741932
Astred Source Prediction,aligned source ratio,,,0.691106089556004,0.6968223688057001,0.6902096526425506
Astred Source Prediction,aligned target ratio,,,0.7089786108718652,0.709445682653248,0.7235702283902127
Astred Source Prediction,aligned word pairs,,,24.05556403470295,23.506063680967692,24.70464361706703
Astred Source Prediction,rows eligible,,,358.0,331.0,361.0
Astred Source Prediction,rows excluded sentence count mismatch,,,142.0,169.0,139.0
Astred Source Prediction,rows failed,,,0.0,0.0,0.0
Astred Source Prediction,rows scored,,,358.0,331.0,361.0
Astred Source Prediction,rows scored multisentence,,,358.0,331.0,361.0
Astred Source Prediction,rows total,,,500.0,500.0,500.0
Astred Source Prediction,sacr cross,lower means closer to source structure,,28.7867328755993,25.790714675017448,30.00742725437322
Astred Source Prediction,sentence pairs scored,,,1790.0,1655.0,1805.0
Astred Source Prediction,seq cross,lower means closer to source structure,,26.428799015025323,23.605507742897952,27.44317715464435
